year,race,sex,age_group,population
2010,White,Male,0-4,3378322
2010,White,Male,5-9,3298172
2010,White,Male,10-14,3621859
2010,White,Male,15-19,3623918
2010,White,Male,20-24,3819699
2010,White,Male,25-29,3858327
2010,White,Male,30-34,3533074
2010,White,Male,35-39,3139864
2010,White,Male,40-44,3018969
2010,White,Male,45-49,2855491
2010,White,Male,50-54,2482631
2010,White,Male,55-59,2049709
2010,White,Male,60-64,1619319
2010,White,Male,65-69,1187120
2010,White,Male,70-74,908649
2010,White,Male,75-79,614831
2010,White,Male,80+,642534
2010,White,Female,0-4,3322864
2010,White,Female,5-9,3264386
2010,White,Female,10-14,3574879
2010,White,Female,15-19,3687816
2010,White,Female,20-24,3954789
2010,White,Female,25-29,4077788
2010,White,Female,30-34,3811526
2010,White,Female,35-39,3456273
2010,White,Female,40-44,3346394
2010,White,Female,45-49,3197278
2010,White,Female,50-54,2803928
2010,White,Female,55-59,2354348
2010,White,Female,60-64,1901275
2010,White,Female,65-69,1450287
2010,White,Female,70-74,1187437
2010,White,Female,75-79,885851
2010,White,Female,80+,1122039
2010,Black,Male,0-4,343150
2010,Black,Male,5-9,470534
2010,Black,Male,10-14,612340
2010,Black,Male,15-19,670899
2010,Black,Male,20-24,731802
2010,Black,Male,25-29,766183
2010,Black,Male,30-34,725126
2010,Black,Male,35-39,626783
2010,Black,Male,40-44,579017
2010,Black,Male,45-49,503517
2010,Black,Male,50-54,427439
2010,Black,Male,55-59,332589
2010,Black,Male,60-64,251662
2010,Black,Male,65-69,181884
2010,Black,Male,70-74,132658
2010,Black,Male,75-79,84265
2010,Black,Male,80+,86763
2010,Black,Female,0-4,312808
2010,Black,Female,5-9,416675
2010,Black,Female,10-14,543132
2010,Black,Female,15-19,593284
2010,Black,Female,20-24,649875
2010,Black,Female,25-29,677637
2010,Black,Female,30-34,635172
2010,Black,Female,35-39,548550
2010,Black,Female,40-44,516284
2010,Black,Female,45-49,469221
2010,Black,Female,50-54,420659
2010,Black,Female,55-59,342815
2010,Black,Female,60-64,270201
2010,Black,Female,65-69,202740
2010,Black,Female,70-74,157400
2010,Black,Female,75-79,108261
2010,Black,Female,80+,126636
2010,Brown,Male,0-4,3182410
2010,Brown,Male,5-9,3733793
2010,Brown,Male,10-14,4364599
2010,Brown,Male,15-19,4143806
2010,Brown,Male,20-24,3953282
2010,Brown,Male,25-29,3714110
2010,Brown,Male,30-34,3350221
2010,Brown,Male,35-39,2907537
2010,Brown,Male,40-44,2639412
2010,Brown,Male,45-49,2258667
